timesteps,equilibrium,payoff,time
14,nash,-1.01445882353,1.07577800751
14,stackelberg,0.84239375,0.124293088913
15,nash,-1.02136853933,1.42926597595
15,stackelberg,0.847763265306,0.174196004868
15,nash,-1.02136853933,1.39831399918
15,stackelberg,0.847763265306,0.179970979691
15,nash,-1.02136853933,1.38873791695
15,stackelberg,0.847763265306,0.174235105515
15,nash,-1.02136853933,1.40345001221
15,stackelberg,0.847763265306,0.172541856766
15,nash,-1.02136853933,1.42965817451
15,stackelberg,0.847763265306,0.17783498764
16,nash,-1.02768387097,1.82079005241
16,stackelberg,0.852918,0.174702882767
16,nash,-1.02768387097,1.79247188568
16,stackelberg,0.852918,0.167457818985
16,nash,-1.02768387097,1.81781196594
16,stackelberg,0.852918,0.167162895203
16,nash,-1.02768387097,1.82109093666
16,stackelberg,0.852918,0.168154001236
16,nash,-1.02768387097,1.80957603455
16,stackelberg,0.852918,0.170439958572
17,nash,-1.03347835052,2.40654706955
17,stackelberg,0.857870588235,0.193639039993
17,nash,-1.03347835052,2.38420701027
17,stackelberg,0.857870588235,0.192523956299
17,nash,-1.03347835052,2.40438079834
17,stackelberg,0.857870588235,0.194276094437
17,nash,-1.03347835052,2.3723950386
17,stackelberg,0.857870588235,0.190680980682
17,nash,-1.03347835052,2.3703558445
17,stackelberg,0.857870588235,0.193717956543
18,nash,-1.03881386139,3.34097909927
18,stackelberg,0.862632692308,0.206588029861
18,nash,-1.03881386139,3.37125706673
18,stackelberg,0.862632692308,0.211639881134
18,nash,-1.03881386139,3.34730005264
18,stackelberg,0.862632692308,0.206862926483
18,nash,-1.03881386139,3.35160207748
18,stackelberg,0.862632692308,0.204952001572
18,nash,-1.03881386139,3.35008096695
18,stackelberg,0.862632692308,0.211681127548
19,nash,-1.04374285714,4.11344385147
19,stackelberg,0.86721509434,0.227427959442
19,nash,-1.04374285714,4.13715314865
19,stackelberg,0.86721509434,0.230221033096
19,nash,-1.04374285714,4.12084388733
19,stackelberg,0.86721509434,0.237643003464
19,nash,-1.04374285714,4.15740394592
19,stackelberg,0.86721509434,0.22926402092
19,nash,-1.04374285714,4.16208004951
19,stackelberg,0.86721509434,0.22940993309
20,nash,-1.04831009175,5.23069500923
20,stackelberg,0.871627777778,0.25593996048
20,nash,-1.04831009175,5.17258000374
20,stackelberg,0.871627777778,0.257021903992
20,nash,-1.04831009175,5.22021508217
20,stackelberg,0.871627777778,0.265177965164
20,nash,-1.04831009175,5.22151899338
20,stackelberg,0.871627777778,0.258665084839
20,nash,-1.04831009175,5.14173793793
20,stackelberg,0.871627777778,0.258682012558
21,nash,-1.0525539823,6.53359603882
21,stackelberg,0.87588,0.308121919632
21,nash,-1.0525539823,6.45113396645
21,stackelberg,0.87588,0.296403169632
21,nash,-1.0525539823,6.4927008152
21,stackelberg,0.87588,0.306720018387
21,nash,-1.0525539823,6.87894392014
21,stackelberg,0.87588,0.300217151642
21,nash,-1.0525539823,6.52979302406
21,stackelberg,0.87588,0.30265212059
22,nash,-1.05650769231,8.12330818176
22,stackelberg,0.879980357143,0.361217021942
22,nash,-1.05650769231,8.09938097
22,stackelberg,0.879980357143,0.345572948456
22,nash,-1.05650769231,8.0832400322
22,stackelberg,0.879980357143,0.348753929138
22,nash,-1.05650769231,8.07471609116
22,stackelberg,0.879980357143,0.344474077225
22,nash,-1.05650769231,8.06878209114
22,stackelberg,0.879980357143,0.350363016129
23,nash,-1.0602,9.94250893593
23,stackelberg,0.883936842105,0.395134210587
23,nash,-1.0602,9.91830301285
23,stackelberg,0.883936842105,0.391983985901
23,nash,-1.0602,9.90320301056
23,stackelberg,0.883936842105,0.387351036072
23,nash,-1.0602,10.1932120323
23,stackelberg,0.883936842105,0.387892007828
23,nash,-1.0602,10.0138120651
23,stackelberg,0.883936842105,0.38756108284
24,nash,-1.063656,12.3543181419
24,stackelberg,0.887756896552,0.428198099136
24,nash,-1.063656,12.3577289581
24,stackelberg,0.887756896552,0.421166181564
24,nash,-1.063656,12.3081469536
24,stackelberg,0.887756896552,0.432852983475
24,nash,-1.063656,12.3287658691
24,stackelberg,0.887756896552,0.420279979706
24,nash,-1.063656,12.2903831005
24,stackelberg,0.887756896552,0.432117938995
25,nash,-1.06689767442,14.9587228298
25,stackelberg,0.891447457627,0.665065050125
25,nash,-1.06689767442,15.1342418194
25,stackelberg,0.891447457627,0.655946969986
25,nash,-1.06689767442,15.0334129333
25,stackelberg,0.891447457627,0.656579971313
25,nash,-1.06689767442,14.9702031612
25,stackelberg,0.891447457627,0.661354064941
25,nash,-1.06689767442,14.90102005
25,stackelberg,0.891447457627,0.658880233765
