t1_prior,equilibrium,11,12,21,22,we1,we2,e1,e2,payoff,uniform
0.24,nash,0.5003331113,0.4996668887,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949368,-2.69477848099
0.24,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.24409090909,-3.0275
0.25,nash,0.4936708861,0.5063291139,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949368,-2.694778481
0.25,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.24715909091,-3.01875
0.26,nash,0.4868286008,0.5131713992,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949368,-2.69477848098
0.26,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.25022727273,-3.01
0.27,nash,0.4797988556,0.5202011444,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949368,-2.69477848099
0.27,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.25329545455,-3.00125
0.28,nash,0.4725738397,0.5274261603,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949368,-2.69477848099
0.28,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.25636363636,-2.9925
0.29,nash,0.4651453022,0.5348546978,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848101
0.29,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.25943181818,-2.98375
0.3,nash,0.4575045208,0.5424954792,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848101
0.3,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.2625,-2.975
0.31,nash,0.4496422675,0.5503577325,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949368,-2.694778481
0.31,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.26556818182,-2.96625
0.32,nash,0.4415487714,0.5584512286,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848102
0.32,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.26863636364,-2.9575
0.33,nash,0.4332136784,0.5667863216,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949366,-2.69477848104
0.33,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.27170454545,-2.94875
0.34,nash,0.4246260069,0.5753739931,0.0,0.0,0.6818181818,0.0,0.0,0.3181818182,-2.36075949367,-2.69477848102
0.34,stackelberg,1.0,-0.0,0.0,1.0,0.681818181818,0.0,0.0,0.318181818182,-2.27477272727,-2.94
