na_prior,t1_prior,t2_prior,equilibrium,11,12,21,22,e1,e2,p,we1,we2,wp,ae1,ae2,ap,payoff,uniform
0.0,0.0,1.0,nash,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.8181818182,0.1818181818,0.0,0.0,0.0,0.0,0.9625,1.85534722222
0.0,0.0,1.0,stackelberg,1.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.818181818182,0.181818181818,0.0,0.0,0.0,0.0,0.868181818182,2.01805555556
0.0,0.01,0.99,nash,0.2424242424,0.7575757576,0.0,0.0,0.0,0.0,0.0,0.8181818182,0.1818181818,0.0,0.0,0.0,0.0,0.962499999991,1.85534722222
0.0,0.01,0.99,stackelberg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.818181818182,0.181818181818,0.0,0.0,0.0,0.0,0.871954545455,2.01805555556
0.0,0.02,0.98,nash,0.2346938776,0.7653061224,0.0,0.0,0.0,0.0,0.0,0.8181818182,0.1818181818,0.0,0.0,0.0,0.0,0.962500000018,1.85534722223
0.0,0.02,0.98,stackelberg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.818181818182,0.181818181818,0.0,0.0,0.0,0.0,0.875727272727,2.01805555556
0.0,0.03,0.97,nash,0.2268041237,0.7731958763,0.0,0.0,0.0,0.0,0.0,0.8181818182,0.1818181818,0.0,0.0,0.0,0.0,0.962499999996,1.85534722222
0.0,0.03,0.97,stackelberg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.818181818182,0.181818181818,0.0,0.0,0.0,0.0,0.8795,2.01805555556
0.0,0.04,0.96,nash,0.21875,0.78125,0.0,0.0,0.0,0.0,0.0,0.8181818182,0.1818181818,0.0,0.0,0.0,0.0,0.9625,1.85534722222
0.0,0.04,0.96,stackelberg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.818181818182,0.181818181818,0.0,0.0,0.0,0.0,0.883272727273,2.01805555556
0.0,0.05,0.95,nash,0.2105263158,0.7894736842,0.0,0.0,0.0,0.0,0.0,0.8181818182,0.1818181818,0.0,0.0,0.0,0.0,0.962500000004,1.85534722222
0.0,0.05,0.95,stackelberg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.818181818182,0.181818181818,0.0,0.0,0.0,0.0,0.887045454545,2.01805555556
0.0,0.06,0.94,nash,0.2021276596,0.7978723404,0.0,0.0,0.0,0.0,0.0,0.8181818182,0.1818181818,0.0,0.0,0.0,0.0,0.962500000009,1.85534722223
0.0,0.06,0.94,stackelberg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.818181818182,0.181818181818,0.0,0.0,0.0,0.0,0.890818181818,2.01805555556
0.0,0.07,0.93,nash,0.1935483871,0.8064516129,0.0,0.0,0.0,0.0,0.0,0.8181818182,0.1818181818,0.0,0.0,0.0,0.0,0.962500000001,1.85534722222
0.0,0.07,0.93,stackelberg,1.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.818181818182,0.181818181818,0.0,0.0,0.0,0.0,0.894590909091,2.01805555556
0.0,0.08,0.92,nash,0.1847826087,0.8152173913,0.0,0.0,0.0,0.0,0.0,0.8181818182,0.1818181818,0.0,0.0,0.0,0.0,0.962500000002,1.85534722222
0.0,0.08,0.92,stackelberg,1.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.818181818182,0.181818181818,0.0,0.0,0.0,0.0,0.898363636364,2.01805555556
0.0,0.09,0.91,nash,0.1758241758,0.8241758242,0.0,0.0,0.0,0.0,0.0,0.8181818182,0.1818181818,0.0,0.0,0.0,0.0,0.962499999992,1.85534722222
0.0,0.09,0.91,stackelberg,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.947368421053,0.0526315789474,0.0,0.0,0.0,0.0,0.900736842105,2.01805555556
0.0,0.1,0.9,nash,0.1666666667,0.8333333333,0.0,0.0,0.0,0.0,0.0,0.8181818182,0.1818181818,0.0,0.0,0.0,0.0,0.962500000011,1.85534722223
0.0,0.1,0.9,stackelberg,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.947368421053,0.0526315789474,0.0,0.0,0.0,0.0,0.897894736842,2.01805555556
0.0,0.11,0.89,nash,0.1573033708,0.8426966292,0.0,0.0,0.0,0.0,0.0,0.8181818182,0.1818181818,0.0,0.0,0.0,0.0,0.962500000005,1.85534722222
0.0,0.11,0.89,stackelberg,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.947368421053,0.0526315789474,0.0,0.0,0.0,0.0,0.895052631579,2.01805555556
