t1_prior,equilibrium,decoys,11,12,21,22,e1,e2,p,we1,we2,wp,ae1,ae2,ap,payoff,uniform
0.17,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.17,stackelberg,17,1.0,0.0,-0.0,1.0,0.00990099009901,0.0,0.0,0.0,0.0,0.990099009901,0.0,0.0,0.0,0.380222772277,1.22430555556
0.18,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.18,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.890444444444,1.34236111111
0.19,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.19,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.887444444444,1.34236111111
0.2,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.2,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.884444444444,1.34236111111
0.21,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.21,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.881444444444,1.34236111111
0.22,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.22,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.878444444444,1.34236111111
0.23,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.23,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.875444444444,1.34236111111
0.24,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.24,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.872444444444,1.34236111111
0.25,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.25,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.869444444444,1.34236111111
0.26,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.26,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.866444444444,1.34236111111
0.27,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.27,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.863444444444,1.34236111111
0.28,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.28,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.860444444444,1.34236111111
0.29,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.29,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.857444444444,1.34236111111
0.3,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.3,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.854444444444,1.34236111111
0.31,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.31,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.851444444444,1.34236111111
0.32,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.32,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.848444444444,1.34236111111
0.33,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.33,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.845444444444,1.34236111111
0.34,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.34,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.842444444444,1.34236111111
0.35,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.35,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.839444444444,1.34236111111
0.36,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.36,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.836444444444,1.34236111111
0.37,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.37,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.833444444444,1.34236111111
0.38,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.38,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.830444444444,1.34236111111
0.39,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.39,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.827444444444,1.34236111111
0.4,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.4,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.824444444444,1.34236111111
0.41,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.41,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.821444444444,1.34236111111
0.42,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.42,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.818444444444,1.34236111111
0.43,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.43,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.815444444444,1.34236111111
0.44,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.44,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.812444444444,1.34236111111
0.45,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.45,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.809444444444,1.34236111111
0.46,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.46,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.806444444444,1.34236111111
0.47,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.47,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.803444444444,1.34236111111
0.48,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.48,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.800444444444,1.34236111111
0.49,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.49,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.797444444444,1.34236111111
0.5,nash,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95,1.34236111111
0.5,stackelberg,0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.944444444444,0.0,0.0555555555556,0.0,0.0,0.0,0.794444444444,1.34236111111
